CASE;LASTPAGE;TIME_RSI;Alter;KIattention;Ehrlichkeit_Rohwert;DS01;Erwerbstaetigkeit;Geschlecht;SD_Branche;SD_Branche_andere;SD_Leitung;BeruflicheBildung;SD_BeruflicheBildung_sonstiges;KIHaeufigkeit_privateNutzung;KIZeitraumPrivateNutzung;KI_beruflicheNutzung;KI_ZufriedenhMA;KI07_11a;KI12_07a;KISUWunsch;KIUFoerderung;KIWunsch_Guideline;KIWunsch_keineU;KIWunsch_Schulung;KIWunsch_Sonstiges;KIWunsch_UseCase;KIWunsch_Vernetzung;KIWunsch_Zugang;KIZweck;KIZweck_Bericht;KIZweck_Brain;KIZweck_Datenanalyse;KIZweck_Kreativ;KIZweck_Program;KIZweck_Recherche;KIZweck_Sonstiges;KIZweck_Tech;KIZweck_TechSup;KIZweck_Text;KIpos_01;KIpos_02;KIpos_04;KIpos_05;KIpos_07;KIpos_11;KIpos_12;KIpos_13;KIpos_14;KIpos_16;KIpos_17;KIpos_18;KIneg_03;KIneg_06;KIneg_08;KIneg_09;KIneg_10;KIneg_15;KIneg_19;KIneg_20;PMoffen1;PMoffen2;PMoffen3;PMoffen4;PMoffen5;PMoffen6;PMoffen7;PMoffen8;PMoffen9;PMoffen10;PMgewissen1;PMgewissen2;PMgewissen3;PMgewissen4;PMgewissen5;PMgewissen6;PMgewissen7;PMgewissen8;PMgewissen9;PMgewissen10;PMextra1;PMextra2;PMextra3;PMextra4;PMextra5;PMextra6;PMextra7;PMextra8;PMextra9;PMextra10;PMvertrag1;PMvertrag2;PMvertrag3;PMvertrag4;PMvertrag5;PMvertrag6;PMvertrag7;PMvertrag8;PMvertrag9;PMvertrag10;PMneuro1;PMneuro2;PMneuro3;PMneuro4;PMneuro5;PMneuro6;PMneuro7;PMneuro8;PMneuro9;PMneuro10;PMleistung1;PMleistung2;PMleistung3;PMleistung4;PMleistung5;PMleistung6;PMmacht1;PMmacht2;PMmacht3;PMmacht4;PMmacht5;PMmacht6;PMsicher1;PMsicher2;PMsicher3;PMsicher4;PMsicher5;PMsicher6;PMehrlich1;PMehrlich2;PMehrlich3;PMehrlich4;Offenheit;Gewissenhaftigkeit;Extraversion;Verträglichkeit;Neurotizismus;Leistungsmotiv;Machtmotiv;Sicherheitsmotiv;GAAIS_positiv;GAAIS_negativ;Offenheit_MEAN;Gewissenhaftigkeit_MEAN;Extraversion_MEAN;Verträglichkeit_MEAN;Neurotizismus_MEAN;Leistung_MEAN;Macht_MEAN;Sicherheit_MEAN;Ehrlichkeit_MEAN;GAAIS_negativ_MEAN;GAAIS_positiv_MEAN
545;13;,61;65;4;9;2;1;2;3; ;1;2; ;3;2;2;2; ; ;5; ;2;1;2;1;2;2;2;2;1;1;1;1;1;2;1;1;1;2;3;5;3;5;4;4;5;5;5;4;3;4;1;3;5;4;4;4;4;4;3;4;2;4;3;4;3;1;2;4;4;3;2;2;2;3;2;3;1;2;4;3;4;3;4;3;4;3;4;4;4;4;4;3;3;4;4;4;4;4;1;3;4;4;3;4;3;4;4;3;1;3;3;3;2;1;1;2;2;3;3;1;3;3;2;3;3;4;2;2;2;3;27;24;36;38;33;13;12;18;50;29;3;2,4;3,6;3,8;3,3;2,16666666666667;2;3;2,25;3,625;4,16666666666667
583;13;,81;52;4;9;2;1;2;6; ;1;2; ;2;1;1;3; ; ;2; ;1;1;2;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ;3;5;4;5;4;5;5;4;5;5;5;5;2;2;3;3;1;2;4;1;2;2;2;2;2;2;4;2;3;3;4;3;2;3;3;2;3;3;3;2;3;2;3;2;2;3;2;2;3;3;3;4;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;1;2;2;1;1;2;1;1;2;1;3;4;3;3;3;3;2;2;2;3;22;28;25;30;29;11;8;19;55;18;2,44444444444444;2,8;2,5;3;2,9;1,83333333333333;1,33333333333333;3,16666666666667;2,25;2,25;4,58333333333333
595;13;1,88;32;4;9;2;1;2;2; ;1;2; ;4;1;2;3; ; ;1; ;1;2;1;1;1;1;1;3;1;2;1;1;1;2;1;1;1;2;2;3;4;4;4;3;4;3;4;3;3;2;4;3;1;1;1;3;2;2;2;2;3;1;2;2;2;4;2;2;2;3;4;3;4;2;4;4;3;2;3;3;3;3;3;3;1;1;3;4;4;4;3;4;4;4;2;3;4;4;2;2;3;4;4;4;4;2;3;3;3;3;2;3;3;4;1;3;3;3;3;1;3;4;2;4;4;4;2;3;1;3;20;31;27;36;31;18;14;21;39;17;2,22222222222222;3,1;2,7;3,6;3,1;3;2,33333333333333;3,5;2,25;2,125;3,25
628;13;1,41;37;4;9;2;1;1;5; ;2;4; ;5;4;5;4; ; ;5; ;2;1;2;1;2;2;2;9;2;2;2;2;2;2;1;2;2;2;5;5;5;5;5;5;5;5;5;4;5;5;2;3;5;4;5;5;5;4;2;4;2;2;1;3;1;3;4;4;3;4;2;4;3;1;3;3;3;2;1;2;2;1;1;1;3;1;2;2;4;3;1;3;2;4;2;1;2;3;1;1;2;1;4;4;1;1;2;1;4;2;2;2;4;1;2;2;1;1;1;1;1;3;3;2;3;1;2;3;1;3;25;28;16;25;18;15;8;13;59;33;2,77777777777778;2,8;1,6;2,5;1,8;2,5;1,33333333333333;2,16666666666667;2,25;4,125;4,91666666666667
647;13;,7;32;4;9;2;1;2;4; ;1;4; ;4;3;4;1; ; ;2; ;1;1;2;1;1;1;2;6;2;2;2;1;1;2;1;1;2;2;4;4;2;4;4;2;4;4;5;2;2;4;2;2;4;4;4;4;4;2;3;4;2;3;2;4;2;3;2;4;3;3;2;2;2;3;3;2;3;1;3;2;3;2;2;2;2;1;2;2;4;3;3;2;4;3;4;3;4;3;2;3;3;3;3;3;3;3;3;3;1;3;3;3;2;1;1;2;2;2;3;2;3;3;3;4;3;3;2;2;2;3;27;24;21;33;29;13;12;19;41;26;3;2,4;2,1;3,3;2,9;2,16666666666667;2;3,16666666666667;2,25;3,25;3,41666666666667
731;13;,71;30;4;9;2;1;1;5; ;2;4; ;5;3;5;4; ; ;1; ;2;1;1;1;1;1;1;6;2;2;1;1;2;2;1;1;2;2;5;5;5;3;5;5;5;5;5;3;3;5;2;2;5;5;5;5;5;4;4;3;3;4;4;4;2;1;4;2;4;3;2;4;3;1;3;3;3;2;4;4;4;4;3;4;4;1;4;4;3;3;3;3;3;3;3;3;3;3;1;1;1;1;3;2;1;1;2;2;1;2;1;3;3;1;1;3;1;2;4;1;2;4;2;3;3;3;2;2;2;3;27;28;36;30;15;11;12;17;54;33;3;2,8;3,6;3;1,5;1,83333333333333;2;2,83333333333333;2,25;4,125;4,5
745;13;1,17;23;4;9;2;1;1;8;Personenverkehr;1;4; ;4;3;2;2; ; ;3; ;1;1;2;1;2;1;2;2;1;2;1;1;1;1;1;1;1;2;4;4;1;4;4;2;4;5;4;3;4;4;3;2;4;4;3;4;5;5;3;2;3;3;1;4;3;2;2;2;4;3;3;3;4;4;3;4;2;3;4;3;3;1;4;3;2;2;3;3;4;4;3;3;3;4;3;2;3;3;3;3;3;3;3;1;2;3;1;3;4;3;2;3;4;1;1;1;1;1;2;2;4;4;3;3;1;3;1;2;3;3;24;33;28;32;25;17;8;18;43;30;2,66666666666667;3,3;2,8;3,2;2,5;2,83333333333333;1,33333333333333;3;2,25;3,75;3,58333333333333
750;13;,87;30;4;9;2;1;1;6; ;2;4; ;5;3;5;3; ; ;1; ;1;1;2;1;1;1;1;4;2;1;2;1;1;2;1;1;1;2;3;4;5;3;4;4;5;5;4;1;3;4;2;2;5;4;2;4;2;2;3;4;1;3;4;4;1;4;4;4;4;3;2;3;4;1;2;2;3;3;2;3;2;2;3;2;1;2;3;3;2;2;4;2;2;3;2;3;3;3;1;2;2;2;3;1;1;1;1;2;4;2;1;2;2;1;1;3;1;1;2;2;3;3;1;3;1;2;2;2;2;3;28;27;23;26;16;12;10;13;45;23;3,11111111111111;2,7;2,3;2,6;1,6;2;1,66666666666667;2,16666666666667;2,25;2,875;3,75
764;13;1,62;54;4;9;2;1;1;4; ;2;2; ;4;1;4;3; ; ;1; ;1;1;1;1;2;1;1;5;2;1;2;2;1;2;1;1;1;2;4;4;3;4;4;4;4;2;4;3;4;4;2;2;4;4;4;4;4;3;2;3;1;3;2;3;3;1;2;3;3;3;1;2;3;2;2;2;2;3;3;2;2;2;3;2;3;2;2;3;3;3;2;3;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;3;2;3;2;2;21;23;24;26;20;12;12;16;44;27;2,33333333333333;2,3;2,4;2,6;2;2;2;2,66666666666667;2,25;3,375;3,66666666666667
804;13;,99;30;4;9;2;1;1;4; ;1;4; ;4;2;4;3; ; ;5; ;2;1;2;1;2;2;2;5;2;2;1;1;1;2;1;1;2;2;4;5;4;5;4;4;5;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;2;3;1;1;2;2;3;3;3;3;3;1;3;3;2;2;3;2;3;3;4;3;3;2;3;3;3;3;2;4;3;3;3;2;2;3;2;2;2;1;2;2;1;2;2;2;3;3;2;3;3;2;2;2;3;2;3;2;2;3;2;2;3;3;2;2;2;3;21;26;29;28;18;16;14;15;50;32;2,33333333333333;2,6;2,9;2,8;1,8;2,66666666666667;2,33333333333333;2,5;2,25;4;4,16666666666667
810;13;,62;38;4;9;2;1;2;7; ;2;3; ;2;1;2;3; ; ;1; ;1;2;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;4;3;3;4;3;4;4;3;4;3;3;3;2;3;2;3;1;2;2;1;4;3;2;3;2;3;2;2;2;4;3;3;2;2;3;1;2;3;2;2;3;2;3;1;2;3;1;1;2;2;3;4;3;4;4;4;4;2;4;3;2;2;2;3;3;2;2;2;3;3;3;1;2;1;2;2;1;1;2;1;2;1;4;3;2;3;2;3;1;2;3;3;25;23;20;35;24;11;8;17;41;16;2,77777777777778;2,3;2;3,5;2,4;1,83333333333333;1,33333333333333;2,83333333333333;2,25;2;3,41666666666667
847;13;1,22;31;4;9;2;1;2;4; ;1;2; ;4;2;4;2; ; ;4; ;2;1;2;1;2;1;2;4;1;2;2;1;1;2;1;1;1;2;4;4;4;5;5;5;5;4;4;4;4;5;3;3;4;4;4;4;4;5;3;3;3;2;3;4;4;3;2;4;3;3;2;2;3;2;3;3;2;3;3;2;3;1;2;2;2;1;2;2;3;3;3;3;4;3;3;2;3;2;2;2;3;4;3;3;3;3;3;3;3;3;2;2;3;2;2;2;2;1;2;2;4;4;3;4;4;4;3;1;2;3;28;26;20;29;29;15;11;23;53;31;3,11111111111111;2,6;2;2,9;2,9;2,5;1,83333333333333;3,83333333333333;2,25;3,875;4,41666666666667
866;13;,88;33;4;9;2;1;2;8;Energie;1;3; ;4;1;4;3; ; ;3; ;1;1;2;1;2;2;1;2;1;2;1;1;1;1;1;1;1;2;3;4;2;4;4;3;4;2;4;2;4;4;3;3;4;4;3;4;4;3;4;4;3;2;3;4;3;2;2;3;3;3;3;3;3;2;2;2;2;2;3;2;4;2;3;3;3;1;2;3;3;3;3;2;3;3;2;3;2;3;3;4;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;2;1;1;2;2;4;3;3;3;3;4;2;2;2;3;27;25;26;27;30;16;10;20;40;28;3;2,5;2,6;2,7;3;2,66666666666667;1,66666666666667;3,33333333333333;2,25;3,5;3,33333333333333
906;13;,87;23;4;9;2;1;1;8;Chemieindustrie;1;2; ;3;2;5;3;Übersetzung;Schnelleres Vorantreiben und Nutzen von KI Fähigkeiten;1; ;1;1;1;2;1;1;1;4;2;2;1;1;1;1;2;1;1;2;4;5;4;5;5;5;5;5;5;3;5;5;3;3;4;4;4;5;3;3;3;3;2;3;2;3;2;3;3;2;4;3;3;4;3;2;3;3;4;1;3;2;2;1;3;2;3;1;2;2;4;4;4;4;4;4;4;3;3;4;2;2;1;2;3;2;2;3;3;2;3;2;2;2;2;2;2;4;3;2;3;1;3;3;2;3;2;3;2;3;3;1;24;30;21;38;22;13;15;16;56;29;2,66666666666667;3;2,1;3,8;2,2;2,16666666666667;2,5;2,66666666666667;2,25;3,625;4,66666666666667
907;13;,85;39;4;9;2;1;1;6; ;1;2; ;3;2;2;3; ; ;3; ;1;1;2;1;2;1;2;3;1;2;1;1;1;2;1;1;1;2;2;4;4;5;2;4;4;4;5;4;4;3;3;2;2;2;2;2;3;2;2;3;4;2;2;2;2;2;3;3;4;4;3;4;3;4;3;3;3;3;3;3;4;2;3;3;2;1;3;3;4;4;3;3;3;4;2;4;3;3;3;3;2;3;3;2;2;3;3;2;3;2;2;2;3;2;1;2;2;1;2;2;4;3;3;3;3;4;2;2;2;3;23;34;27;33;26;14;10;20;45;18;2,55555555555556;3,4;2,7;3,3;2,6;2,33333333333333;1,66666666666667;3,33333333333333;2,25;2,25;3,75
320;13;,88;42;4;10;2;1;1;8;Chemieindustrie;2;4; ;3;1;2;3; ; ;2; ;2;1;1;1;2;1;1;3;1;2;2;1;1;2;1;1;1;1;3;2;2;5;4;3;4;4;5;4;4;4;4;3;4;2;2;2;4;4;1;4;2;2;3;3;2;2;3;3;4;4;2;4;4;2;4;3;3;3;2;4;2;3;1;2;2;1;2;2;3;3;3;4;3;3;2;3;3;3;2;1;3;1;1;1;1;2;1;1;3;3;1;2;3;2;1;2;2;1;3;1;3;4;3;3;3;3;2;3;2;3;22;33;21;30;14;14;10;19;44;25;2,44444444444444;3,3;2,1;3;1,4;2,33333333333333;1,66666666666667;3,16666666666667;2,5;3,125;3,66666666666667
334;13;,7;35;4;10;2;1;1;5; ;2;4; ;3;3;4;3; ;Ausarbeitung konkreter Agents für meine Ansprüche;1; ;1;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;2;1;2;5;2;5;4;4;4;4;5;4;1;4;3;3;4;2;2;3;2;3;3;4;1;2;4;4;3;3;2;4;3;3;4;2;4;3;4;3;1;2;4;3;3;3;2;3;2;2;4;4;3;2;3;4;1;3;2;2;3;4;1;1;2;1;2;1;1;3;1;1;4;3;2;3;3;1;2;3;2;2;2;2;3;4;3;4;2;3;2;2;3;3;26;29;30;27;14;16;13;19;44;22;2,88888888888889;2,9;3;2,7;1,4;2,66666666666667;2,16666666666667;3,16666666666667;2,5;2,75;3,66666666666667
355;13;1,22;24;4;10;2;1;1;6; ;1;4; ;5;3;4;4; ; ;5; ;2;1;2;1;2;2;2;5;2;2;1;1;2;1;1;2;1;2;4;4;4;4;4;4;4;4;4;2;3;4;2;3;3;2;2;4;4;2;2;3;2;3;3;3;2;3;2;3;3;3;2;3;3;3;3;2;2;3;3;3;3;2;3;3;1;2;4;2;4;4;3;4;3;3;3;3;3;3;1;1;3;2;3;1;1;2;3;1;2;3;3;3;2;2;3;3;3;3;3;2;3;3;1;3;2;3;2;2;3;3;23;27;26;33;18;15;17;15;45;22;2,55555555555556;2,7;2,6;3,3;1,8;2,5;2,83333333333333;2,5;2,5;2,75;3,75
361;13;1,9;27;4;10;2;1;2;4; ;1;4; ;4;3;3;3; ; ;3; ;2;1;1;1;2;1;2;3;1;2;1;1;1;1;1;1;2;2;2;4;3;5;4;4;5;3;4;3;4;4;3;1;3;4;2;4;4;3;3;3;3;3;4;3;3;3;3;4;3;3;1;3;3;1;1;3;2;1;3;3;3;2;3;3;3;1;4;3;4;3;4;4;3;3;2;3;1;3;3;2;3;3;4;4;2;3;2;2;3;3;2;3;3;1;1;2;1;2;3;2;3;4;3;3;4;3;2;3;3;2;28;21;28;30;28;15;11;20;45;24;3,11111111111111;2,1;2,8;3;2,8;2,5;1,83333333333333;3,33333333333333;2,5;3;3,75
396;13;,7;33;4;10;2;1;2;4; ;1;4; ;3;1;2;4; ; ;1; ;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;4;4;4;4;2;4;2;3;2;2;2;3;2;2;2;2;4;2;2;1;2;3;3;2;2;2;2;3;3;3;3;3;4;3;4;3;3;3;3;2;2;1;2;1;1;2;2;4;4;4;3;3;4;4;4;3;3;2;3;3;3;2;3;2;2;3;2;3;2;2;3;3;3;3;3;2;2;3;2;3;4;3;4;3;4;3;1;3;3;18;32;19;36;25;16;15;21;37;19;2;3,2;1,9;3,6;2,5;2,66666666666667;2,5;3,5;2,5;2,375;3,08333333333333
397;13;1,06;27;4;10;2;1;2;4; ;1;4; ;4;3;1;3; ; ;2; ;1;1;1;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ;3;4;2;4;4;3;4;2;4;2;3;4;3;2;5;5;4;4;4;5;4;3;4;3;3;3;3;2;3;4;3;3;2;2;2;3;3;3;3;2;3;3;3;2;3;3;4;4;3;3;4;3;4;3;4;4;3;3;3;3;2;2;2;2;3;3;2;2;3;3;3;2;1;2;1;1;1;3;1;1;2;1;3;3;2;3;3;4;2;3;2;3;29;26;31;34;24;10;9;18;39;32;3,22222222222222;2,6;3,1;3,4;2,4;1,66666666666667;1,5;3;2,5;4;3,25
494;13;1,06;38;4;10;2;1;2;6; ;2;4; ;5;2;5;2; ; ;3; ;2;1;2;1;1;1;2;6;2;2;2;2;1;2;1;1;1;2;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;4;3;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;2;3;3;3;2;2;3;2;3;3;2;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;2;3;2;2;2;3;2;2;3;3;25;29;28;29;23;17;18;14;48;28;2,77777777777778;2,9;2,8;2,9;2,3;2,83333333333333;3;2,33333333333333;2,5;3,5;4
498;13;,77;29;4;10;2;1;2;5; ;2;4; ;3;3;5;3; ; ;3; ;2;1;1;1;1;2;2;3;1;1;1;1;2;1;1;1;2;2;2;5;3;5;4;4;4;4;5;3;3;4;4;3;4;4;4;4;5;5;3;3;2;3;4;4;2;2;2;2;3;3;3;3;2;2;3;3;3;3;3;3;3;2;2;3;3;3;2;3;3;3;4;3;3;3;3;2;3;4;3;2;2;3;3;4;2;2;4;3;3;3;2;4;3;1;1;2;3;2;2;1;3;3;2;3;2;4;2;3;1;4;23;28;27;31;28;16;11;17;46;33;2,55555555555556;2,8;2,7;3,1;2,8;2,66666666666667;1,83333333333333;2,83333333333333;2,5;4,125;3,83333333333333
504;13;,72;29;4;10;2;1;1;8;Ingenieurwesen Elektro;1;3; ;4;3;3;3; ; ;1; ;1;1;1;1;1;1;2;4;1;1;2;2;1;1;1;1;2;2;4;4;3;5;4;4;4;4;5;4;3;4;3;2;2;4;2;3;4;2;4;3;2;2;2;4;3;1;3;3;3;4;3;4;4;2;4;3;4;4;4;3;4;2;3;2;4;3;2;2;4;4;3;4;3;4;3;2;4;4;2;2;2;2;4;4;1;3;4;3;3;2;2;3;3;2;1;2;1;2;2;2;3;4;2;4;4;4;2;3;2;3;25;35;29;35;27;15;10;21;48;22;2,77777777777778;3,5;2,9;3,5;2,7;2,5;1,66666666666667;3,5;2,5;2,75;4
518;13;,9;60;4;10;2;1;1;2; ;2;4; ;5;2;5;4; ; ;2; ;1;2;1;1;1;2;1;4;1;2;2;2;1;2;1;1;1;1;4;5;4;5;5;4;5;5;5;4;4;4;3;4;4;2;2;4;5;4;4;4;4;3;4;4;4;4;4;4;4;3;2;3;3;1;3;3;3;3;2;3;4;2;2;2;2;1;3;2;4;4;2;3;2;4;3;2;4;3;1;1;1;2;2;1;1;1;1;1;3;3;2;2;3;3;2;3;2;2;2;2;2;2;2;2;1;2;2;3;2;3;35;28;23;31;12;16;13;11;54;28;3,88888888888889;2,8;2,3;3,1;1,2;2,66666666666667;2,16666666666667;1,83333333333333;2,5;3,5;4,5
530;13;,3;54;4;10;2;1;2;6; ;2;2; ;4;2;3;1;Zeugniserstellung; ;2; ;1;1;2;1;2;1;1;4;2;1;1;1;1;2;2;1;1;2;3;5;4;5;4;4;5;5;5;4;5;5;2;1;4;3;3;1;4;3;1;3;2;2;4;4;1;1;1;4;4;4;4;4;3;4;4;4;4;4;4;3;4;1;4;4;2;3;4;4;3;3;4;3;4;4;4;4;3;3;1;1;2;1;1;2;1;1;2;2;2;1;1;1;3;1;1;4;1;3;3;1;4;4;4;3;3;3;1;4;2;3;19;39;33;35;14;9;13;21;54;21;2,11111111111111;3,9;3,3;3,5;1,4;1,5;2,16666666666667;3,5;2,5;2,625;4,5
544;13;1,02;48;4;10;2;1;2;8;Tourismus;2;4; ;4;2;4;3; ;Chatbot;1; ;1;1;1;2;1;1;1;3;2;2;1;1;1;1;1;1;1;2;2;4;2;4;4;5;5;5;5;3;4;4;3;3;2;2;1;2;3;3;3;4;2;2;1;3;2;1;1;1;4;3;2;3;3;3;3;4;3;1;3;3;4;2;2;3;3;1;2;2;4;4;4;4;4;4;2;4;3;3;2;3;2;3;2;1;1;3;3;3;3;2;2;3;3;1;1;1;2;1;3;2;3;4;3;4;2;3;1;2;3;4;19;29;25;36;23;14;10;19;47;19;2,11111111111111;2,9;2,5;3,6;2,3;2,33333333333333;1,66666666666667;3,16666666666667;2,5;2,375;3,91666666666667
563;13;,86;62;4;10;2;1;1;2; ;2;3; ;2;1;2;3; ; ;1; ;1;1;1;1;1;1;2;4;1;1;2;1;1;2;1;1;2;2;3;4;4;4;4;4;4;4;4;4;3;3;2;3;2;2;1;2;3;1;2;2;3;2;2;2;1;2;1;3;3;4;2;3;2;3;3;3;3;3;4;3;4;3;3;4;3;1;3;3;4;4;3;3;2;4;3;3;3;3;2;2;3;3;3;3;3;3;2;2;3;2;2;3;3;1;1;2;2;1;3;2;3;4;3;4;3;4;2;3;2;3;18;29;31;32;26;14;11;21;45;16;2;2,9;3,1;3,2;2,6;2,33333333333333;1,83333333333333;3,5;2,5;2;3,75
629;13;1,06;62;4;10;2;1;1;5; ;2;4; ;5;4;5;1;Mehrfach Check unterschiedlicher Systeme,;Innovation und neue Perspektiven;3; ;1;1;1;2;1;2;2;8;2;2;2;2;1;2;2;1;2;2;4;5;5;5;4;4;5;4;5;4;3;5;1;3;3;2;2;5;5;4;4;4;3;2;4;4;3;3;3;4;3;3;2;3;3;3;3;3;2;1;4;3;4;3;3;4;2;1;4;3;3;4;3;4;3;3;2;2;3;3;1;1;1;2;2;3;1;2;2;2;2;3;3;3;2;2;2;4;2;3;3;2;2;4;3;3;1;3;2;3;2;3;30;26;31;30;17;15;16;16;53;25;3,33333333333333;2,6;3,1;3;1,7;2,5;2,66666666666667;2,66666666666667;2,5;3,125;4,41666666666667
645;13;,75;48;4;10;2;1;2;6; ;1;4; ;2;1;1;2; ; ;5; ;2;1;2;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ;3;5;1;4;5;1;5;4;5;2;3;4;3;2;5;3;4;3;2;1;4;4;4;3;4;4;3;3;3;4;4;4;3;3;4;3;2;4;3;3;4;3;3;3;3;4;1;1;4;4;4;4;3;3;3;4;1;3;4;3;2;3;3;2;4;4;3;3;4;2;3;3;2;3;3;2;2;2;3;2;4;3;4;4;2;4;4;4;3;3;2;2;32;33;30;32;30;16;16;22;42;23;3,55555555555556;3,3;3;3,2;3;2,66666666666667;2,66666666666667;3,66666666666667;2,5;2,875;3,5
671;13;1,43;43;4;10;2;1;1;6; ;2;4; ;5;4;4;2; ; ;2; ;1;1;2;1;1;1;2;2;1;1;2;2;1;1;1;1;1;1;4;2;4;3;4;4;5;3;4;4;4;4;1;2;5;5;1;2;4;2;4;4;2;3;4;4;2;2;4;4;2;3;1;3;3;1;3;3;4;1;1;1;3;2;2;2;1;3;1;1;3;3;4;3;1;3;1;4;1;3;2;2;3;2;2;2;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;2;2;3;2;2;2;3;2;3;29;24;17;26;23;18;17;12;45;22;3,22222222222222;2,4;1,7;2,6;2,3;3;2,83333333333333;2;2,5;2,75;3,75
699;13;,71;26;4;10;2;1;2;6; ;1;2; ;4;3;4;2; ; ;4; ;2;1;2;1;2;2;1;6;1;2;2;2;1;2;1;1;2;2;4;4;3;4;4;3;4;3;5;3;4;5;3;2;4;4;4;3;3;4;3;4;3;2;3;3;3;3;2;2;4;4;3;3;3;4;4;4;2;2;4;3;3;2;2;2;2;2;3;3;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;1;2;2;2;2;2;2;3;3;3;3;1;3;2;2;3;3;25;33;26;35;30;13;12;16;46;27;2,77777777777778;3,3;2,6;3,5;3;2,16666666666667;2;2,66666666666667;2,5;3,375;3,83333333333333
729;13;,88;35;4;10;2;1;1;1; ;1;4; ;5;2;5;3; ; ;1; ;1;2;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;5;4;4;5;5;3;4;5;5;5;4;5;3;3;2;1;2;3;4;3;4;4;4;3;2;4;1;4;4;4;3;3;3;2;3;2;2;3;3;2;4;3;3;3;3;3;4;2;3;4;4;3;4;3;3;4;3;3;3;4;2;2;2;1;4;2;2;1;2;2;4;3;3;3;4;2;3;4;2;2;3;2;1;2;3;2;2;2;2;3;2;3;32;26;32;34;20;19;16;12;54;21;3,55555555555556;2,6;3,2;3,4;2;3,16666666666667;2,66666666666667;2;2,5;2,625;4,5
746;13;1,08;21;4;10;2;1;2;8;Chemie;1;4; ;5;3;5;4; ; ;1; ;1;1;1;1;1;1;2;4;1;2;1;2;1;2;1;1;1;2;5;5;3;5;5;4;5;4;5;4;4;5;4;2;4;5;3;4;5;2;4;4;4;4;4;4;3;2;2;3;4;3;2;3;3;2;2;3;3;2;3;2;4;2;3;3;4;2;3;3;4;4;3;4;3;4;3;2;4;3;2;2;2;3;4;3;2;3;2;2;4;2;2;2;4;3;3;3;2;2;3;2;1;2;2;2;1;2;3;1;3;3;30;27;29;34;25;17;15;10;54;29;3,33333333333333;2,7;2,9;3,4;2,5;2,83333333333333;2,5;1,66666666666667;2,5;3,625;4,5
888;13;1,22;42;4;10;2;1;2;6; ;1;3; ;3;2;3;3; ; ;2; ;1;1;1;1;2;1;2;3;1;2;1;2;1;2;1;1;1;1;5;5;4;5;4;4;5;4;5;4;5;5;4;4;3;4;4;5;4;3;3;4;3;3;2;3;2;1;2;4;3;3;2;3;3;3;2;3;3;3;3;3;3;2;3;3;2;1;3;2;3;3;4;4;4;3;3;3;3;3;2;2;2;2;1;2;1;2;2;2;4;2;1;2;3;1;1;2;1;2;1;2;3;4;3;3;2;2;1;3;2;4;25;28;25;33;18;13;9;17;55;31;2,77777777777778;2,8;2,5;3,3;1,8;2,16666666666667;1,5;2,83333333333333;2,5;3,875;4,58333333333333
919;13;1,55;28;4;10;2;1;2;1; ;1;4; ;4;2;4;3; ; ;2; ;1;1;2;1;1;2;1;5;2;2;1;2;1;2;1;1;1;2;4;4;4;5;4;4;5;2;4;2;3;4;2;2;3;4;4;3;4;4;3;4;1;2;2;3;3;1;1;3;3;3;1;2;2;4;3;3;2;2;4;3;4;2;3;2;4;4;4;4;3;3;4;4;3;3;2;4;4;4;2;2;2;1;2;2;2;3;3;2;2;3;2;2;2;1;1;2;2;3;3;1;3;3;3;3;3;4;2;3;2;3;21;25;34;34;21;12;12;19;45;26;2,33333333333333;2,5;3,4;3,4;2,1;2;2;3,16666666666667;2,5;3,25;3,75
925;13;1,57;43;4;10;2;1;2;3; ;1;2; ;2;2;2;3; ; ;1; ;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;5;3;4;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;2;3;1;2;2;1;2;2;2;1;1;3;4;4;3;2;3;4;2;4;2;2;2;2;2;1;2;2;1;1;2;2;4;4;3;3;3;4;3;4;4;3;4;4;4;4;4;4;3;3;4;4;2;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;1;3;3;3;15;30;17;35;38;7;6;24;42;23;1,66666666666667;3;1,7;3,5;3,8;1,16666666666667;1;4;2,5;2,875;3,5
336;13;1,55;26;4;11;2;1;2;6; ;1;2; ;4;3;4;3; ; ;3; ;1;1;2;1;2;1;2;7;2;2;2;2;1;2;1;1;2;2;4;4;2;5;4;4;4;4;4;4;4;4;3;2;2;4;3;3;2;2;2;2;2;2;2;2;2;3;2;3;4;4;4;4;3;3;3;3;3;4;2;2;2;1;2;2;2;2;2;1;4;4;3;3;3;3;3;3;4;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;2;3;1;1;3;2;3;3;3;3;3;4;3;3;3;2;20;35;18;33;29;17;12;19;47;21;2,22222222222222;3,5;1,8;3,3;2,9;2,83333333333333;2;3,16666666666667;2,75;2,625;3,91666666666667
413;13;1,25;33;4;11;2;1;2;8;Lebensmittel;1;4; ;5;2;5;3; ; ;1; ;1;2;1;1;1;1;1;6;2;2;2;2;1;1;1;1;2;2;4;4;4;5;4;4;4;4;4;3;4;5;3;2;2;4;2;2;4;4;4;4;2;3;3;4;3;2;4;3;3;4;4;4;4;2;2;3;3;4;3;3;3;3;2;3;3;1;3;3;3;3;3;3;2;3;2;2;3;3;3;3;4;3;3;3;2;3;3;3;4;2;2;2;4;2;2;1;2;2;3;2;3;2;2;2;2;2;1;4;3;3;29;33;27;27;30;16;12;13;49;23;3,22222222222222;3,3;2,7;2,7;3;2,66666666666667;2;2,16666666666667;2,75;2,875;4,08333333333333
